feature,precision,recall,f1,category
workclass,0.7718309859154929,0.27155599603567887,0.40175953079178883,Private
workclass,0.96,0.38095238095238093,0.5454545454545454,Self-emp-inc
workclass,0.65,0.19402985074626866,0.29885057471264365,Local-gov
workclass,0.7096774193548387,0.2619047619047619,0.3826086956521739,Self-emp-not-inc
workclass,0.7647058823529411,0.20634920634920634,0.32499999999999996,State-gov
workclass,0.5769230769230769,0.21428571428571427,0.31249999999999994,Federal-gov
workclass,1.0,1.0,1.0,Without-pay
education,0.8611111111111112,0.2767857142857143,0.41891891891891886,Bachelors
education,0.5,1.0,0.6666666666666666,1st-4th
education,0.8333333333333334,0.26666666666666666,0.40404040404040403,Assoc-voc
education,0.67,0.2454212454212454,0.3592493297587131,Some-college
education,0.6153846153846154,0.2099125364431487,0.3130434782608696,HS-grad
education,0.6666666666666666,0.2857142857142857,0.4,10th
education,0.3333333333333333,0.16666666666666666,0.2222222222222222,7th-8th
education,0.5714285714285714,0.4444444444444444,0.5,11th
education,0.9473684210526315,0.29508196721311475,0.45,Doctorate
education,0.875,0.2931937172774869,0.43921568627450985,Masters
education,1.0,0.41379310344827586,0.5853658536585366,Prof-school
education,0.3333333333333333,0.3333333333333333,0.3333333333333333,9th
education,0.7619047619047619,0.2962962962962963,0.4266666666666667,Assoc-acdm
education,0.25,0.25,0.25,5th-6th
education,0.3333333333333333,0.125,0.18181818181818182,12th
education,1.0,1.0,1.0,Preschool
marital-status,0.4666666666666667,0.45161290322580644,0.45901639344262296,Never-married
marital-status,0.8567774936061381,0.24944154877140728,0.3863898500576701,Married-civ-spouse
marital-status,0.5882352941176471,0.3,0.3973509933774835,Divorced
marital-status,1.0,0.375,0.5454545454545454,Married-spouse-absent
marital-status,0.8,0.4,0.5333333333333333,Separated
marital-status,0.5555555555555556,0.4166666666666667,0.4761904761904762,Widowed
marital-status,1.0,0.25,0.4,Married-AF-spouse
occupation,0.7662337662337663,0.29797979797979796,0.4290909090909091,Sales
occupation,0.16666666666666666,0.09090909090909091,0.11764705882352942,Other-service
occupation,0.6136363636363636,0.2647058823529412,0.3698630136986301,Adm-clerical
occupation,0.7058823529411765,0.2222222222222222,0.3380281690140845,Tech-support
occupation,0.6666666666666666,0.13114754098360656,0.2191780821917808,Transport-moving
occupation,0.9071428571428571,0.3112745098039216,0.46350364963503643,Exec-managerial
occupation,0.6451612903225806,0.2185792349726776,0.32653061224489793,Craft-repair
occupation,0.5714285714285714,0.17391304347826086,0.26666666666666666,Machine-op-inspct
occupation,0.4,0.2222222222222222,0.2857142857142857,Handlers-cleaners
occupation,0.8778625954198473,0.2875,0.4331450094161959,Prof-specialty
occupation,0.6,0.1276595744680851,0.21052631578947367,Protective-serv
occupation,0.5714285714285714,0.3870967741935484,0.4615384615384615,Farming-fishing
occupation,1.0,1.0,1.0,Priv-house-serv
occupation,1.0,1.0,1.0,Armed-Forces
relationship,0.24,0.375,0.2926829268292683,Own-child
relationship,0.5,0.375,0.42857142857142855,Other-relative
relationship,0.8654970760233918,0.24811399832355407,0.3856677524429967,Husband
relationship,0.6074766355140186,0.38235294117647056,0.4693140794223826,Not-in-family
relationship,0.4782608695652174,0.3055555555555556,0.3728813559322034,Unmarried
relationship,0.8297872340425532,0.2653061224489796,0.4020618556701031,Wife
race,0.7721774193548387,0.2676450034940601,0.39750908147379355,White
race,0.7222222222222222,0.25,0.37142857142857144,Asian-Pac-Islander
race,0.75,0.26582278481012656,0.39252336448598124,Black
race,0.2,0.25,0.22222222222222224,Amer-Indian-Eskimo
race,0.6666666666666666,0.5,0.5714285714285715,Other
sex,0.5950413223140496,0.3103448275862069,0.4079320113314448,Female
sex,0.8111888111888111,0.2600896860986547,0.3938879456706282,Male
native-country,0.7626459143968871,0.26886145404663925,0.3975659229208925,United-States
native-country,1.0,0.0,0.0,Guatemala
native-country,1.0,0.18181818181818182,0.3076923076923077,Philippines
native-country,1.0,0.25,0.4,Jamaica
native-country,0.3333333333333333,0.125,0.18181818181818182,Mexico
native-country,1.0,0.2727272727272727,0.42857142857142855,England
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,1.0,0.0,0.0,Poland
native-country,1.0,1.0,1.0,Ecuador
native-country,1.0,0.3333333333333333,0.5,India
native-country,0.0,0.0,1.0,China
native-country,0.0,0.0,1.0,South
native-country,1.0,0.3333333333333333,0.5,France
native-country,0.5,0.5,0.5,El-Salvador
native-country,1.0,0.3333333333333333,0.5,Cuba
native-country,1.0,0.125,0.2222222222222222,Canada
native-country,1.0,0.2,0.33333333333333337,Italy
native-country,0.0,1.0,0.0,Columbia
native-country,1.0,0.5,0.6666666666666666,Iran
native-country,1.0,0.3333333333333333,0.5,Puerto-Rico
native-country,1.0,0.0,0.0,Ireland
native-country,1.0,0.0,0.0,Yugoslavia
native-country,1.0,0.75,0.8571428571428571,Japan
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
native-country,0.3333333333333333,0.5,0.4,Vietnam
native-country,1.0,0.0,0.0,Scotland
native-country,1.0,0.3333333333333333,0.5,Germany
native-country,1.0,1.0,1.0,Greece
native-country,1.0,0.5,0.6666666666666666,Cambodia
native-country,1.0,1.0,1.0,Portugal
native-country,1.0,1.0,1.0,Nicaragua
native-country,1.0,0.0,0.0,Laos
native-country,1.0,1.0,1.0,Haiti
native-country,1.0,0.0,0.0,Taiwan
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,1.0,1.0,Peru
native-country,1.0,1.0,1.0,Thailand
native-country,1.0,1.0,1.0,Trinadad&Tobago
